Date,Day,full,schedule,classDay,Week,MP,Note
8/20/2022,Thursday,N,T,,0,,Test
8/23/2022,Tuesday,Y,X,,0,,Orientation
8/24/2022,Wednesday,Y,X,,0,,Orientation
8/25/2022,Thursday,Y,X,,0,,Orientation
9/1/2022,Thursday,Y,X,,0,,staff
9/2/2022,Friday,H,X,,0,,staff
9/5/2022,Monday,x,x,,1,,Labor Day
9/6/2022,Tuesday,Y,R,1,1,1,Day 1
9/7/2022,Wednesday,Y,R,2,1,1,
9/8/2022,Thursday,Y,R,3,1,1,
9/9/2022,Friday,Y,R,4,1,1,
9/12/2022,Monday,Y,R,5,2,1,
9/13/2022,Tuesday,Y,R,6,2,1,
9/14/2022,Wednesday,Y,R,7,2,1,
9/15/2022,Thursday,Y,R,8,2,1,
9/16/2022,Friday,Y,R,9,2,1,
9/19/2022,Monday,Y,R,10,3,1,
9/20/2022,Tuesday,Y,R,11,3,1,
9/21/2022,Wednesday,Y,R,12,3,1,
9/22/2022,Thursday,Y,R,13,3,1,
9/23/2022,Friday,Y,R,14,3,1,
9/26/2022,Monday,x,x, ,4,1,Rosh Hashanah
9/27/2022,Tuesday,Y,R,15,4,1,
9/28/2022,Wednesday,Y,R,16,4,1,BTS night
9/29/2022,Thursday,Y,R,17,4,1,
9/30/2022,Friday,Y,R,18,4,1,
10/3/2022,Monday,Y,R,19,5,1,
10/4/2022,Tuesday,Y,R,20,5,1,
10/5/2022,Wednesday,X,X, ,5,1,Yom Kippur
10/6/2022,Thursday,Y,R,21,5,1,
10/7/2022,Friday,Y,R,22,5,1,
10/10/2022,Monday,H,SC,23,6,1,PD in PM
10/11/2022,Tuesday,Y,R,24,6,1,
10/12/2022,Wednesday,H,H,25,6,1,PSAT
10/13/2022,Thursday,Y,R,26,6,1,
10/14/2022,Friday,Y,R,27,6,1,
10/17/2022,Monday,Y,R,28,7,1,
10/18/2022,Tuesday,Y,R,29,7,1,
10/19/2022,Wednesday,Y,R,30,7,1,
10/20/2022,Thursday,Y,R,31,7,1,
10/21/2022,Friday,Y,R,32,7,1,
10/24/2022,Monday,X,X, ,8,1,Diwali
10/25/2022,Tuesday,Y,R,33,8,1,
10/26/2022,Wednesday,Y,R,34,8,1,
10/27/2022,Thursday,Y,R,35,8,1,
10/28/2022,Friday,H,SC,36,8,1,ED students
10/31/2022,Monday,Y,R,37,9,1,
11/1/2022,Tuesday,Y,R,38,9,1,
11/2/2022,Wednesday,Y,R,39,9,1,
11/3/2022,Thursday,Y,R,40,9,1,
11/4/2022,Friday,Y,R,41,9,1,
11/7/2022,Monday,Y,R,42,10,2,
11/8/2022,Tuesday,X,X, ,10,2,PD
11/9/2022,Wednesday,Y,R,43,10,2,
11/10/2022,Thursday,X,X, ,10,2,election
11/11/2022,Friday,X,X, ,10,2,election
11/14/2022,Monday,Y,R,44,11,2,
11/15/2022,Tuesday,Y,R,45,11,2,
11/16/2022,Wednesday,Y,R,46,11,2,
11/17/2022,Thursday,Y,R,47,11,2,
11/18/2022,Friday,Y,R,48,11,2,
11/21/2022,Monday,Y,R,49,12,2,
11/22/2022,Tuesday,Y,R,50,12,2,
11/23/2022,Wednesday,X,X, ,12,2,Thanksgiving
11/24/2022,Thursday,X,X, ,12,2,Thanksgiving
11/25/2022,Friday,X,X, ,12,2,Thanksgiving
11/28/2022,Monday,Y,R,50,13,2,
11/29/2022,Tuesday,Y,R,51,13,2,
11/30/2022,Wednesday,Y,R,52,13,2,
12/1/2022,Thursday,Y,R,53,13,2,
12/2/2022,Friday,Y,R,54,13,2,
12/5/2022,Monday,Y,R,55,14,2,
12/6/2022,Tuesday,Y,R,56,14,2,
12/7/2022,Wednesday,Y,R,57,14,2,
12/8/2022,Thursday,Y,R,58,14,2,
12/9/2022,Friday,Y,R,59,14,2,
12/12/2022,Monday,Y,R,60,15,2,
12/13/2022,Tuesday,Y,R,61,15,2,
12/14/2022,Wednesday,Y,R,62,15,2,
12/15/2022,Thursday,Y,R,63,15,2,
12/16/2022,Friday,Y,R,64,15,2,
12/12/2022,Monday,Y,R,65,16,2,
12/13/2022,Tuesday,Y,R,66,16,2,
12/14/2022,Wednesday,Y,R,67,16,2,
12/15/2022,Thursday,Y,R,68,16,2,
12/16/2022,Friday,H,H,69,16,2,ED xmas
1/2/2023,Monday,X,X, ,17,2,NY Observed
1/3/2023,Tuesday,Y,R,70,17,2,
1/4/2023,Wednesday,Y,R,71,17,2,
1/5/2023,Thursday,Y,R,72,17,2,
1/6/2023,Friday,Y,R,73,17,2,
1/9/2023,Monday,Y,R,74,18,2,
1/10/2023,Tuesday,Y,R,75,18,2,
1/11/2023,Wednesday,Y,R,76,18,2,
1/12/2023,Thursday,Y,R,77,18,2,
1/13/2023,Friday,Y,R,78,18,2,
1/15/2023,Sunday,X,X, ,18,2,MLK
1/16/2023,Monday,Y,R,79,19,2,
1/17/2023,Tuesday,Y,R,80,19,2,
1/18/2023,Wednesday,Y,R,81,19,2,
1/19/2023,Thursday,Y,R,82,19,2,
1/23/2023,Monday,Y,R,83,20,3,
1/24/2023,Tuesday,Y,R,84,20,3,
1/25/2023,Wednesday,Y,R,85,20,3,
1/26/2023,Thursday,Y,R,86,20,3,
1/27/2023,Friday,Y,R,87,20,3,
1/30/2023,Monday,Y,R,88,21,3,
1/31/2023,Tuesday,Y,R,89,21,3,
2/1/2023,Wednesday,Y,R,90,21,3,
2/2/2023,Thursday,H,H,91,21,3,Achieve NJ ED
2/3/2023,Friday,Y,R,92,21,3,
2/6/2023,Monday,Y,R,93,22,3,
2/7/2023,Tuesday,Y,R,94,22,3,
2/8/2023,Wednesday,H,H,95,22,3,Parent conferences
2/9/2023,Thursday,Y,R,96,22,3,
2/10/2023,Friday,Y,R,97,22,3,
2/13/2023,Monday,Y,R,98,23,3,
2/14/2023,Tuesday,Y,R,99,23,3,
2/15/2023,Wednesday,Y,R,100,23,3,
2/16/2023,Thursday,Y,R,101,23,3,
2/17/2023,Friday,Y,SC,102,23,3,"ED, winter break"
2/20/2023,Monday,X,X, ,23,3,winter break
2/21/2023,Tuesday,X,X, ,23,3,winter break
2/22/2023,Wednesday,X,X, ,23,3,winter break
2/23/2023,Thursday,X,X, ,23,3,winter break
2/24/2023,Friday,X,X, ,23,3,winter break
2/27/2023,Monday,Y,R,103,24,3,
2/28/2023,Tuesday,Y,R,104,24,3,
3/1/2023,Wednesday,Y,R,105,24,3,
3/2/2023,Thursday,Y,R,106,24,3,
3/3/2023,Friday,Y,R,107,24,3,
3/6/2023,Monday,Y,R,108,25,3,
3/7/2023,Tuesday,Y,R,109,25,3,
3/8/2023,Wednesday,Y,R,110,25,3,
3/9/2023,Thursday,Y,R,111,25,3,
3/10/2023,Friday,Y,R,112,25,3,
3/13/2023,Monday,Y,R,113,26,3,
3/14/2023,Tuesday,Y,R,114,26,3,
3/15/2023,Wednesday,Y,R,115,26,3,
3/16/2023,Thursday,Y,H,116,26,3,Achieve NJ ED
3/17/2023,Friday,Y,R,117,26,3,
3/20/2023,Monday,Y,R,118,27,3,
3/21/2023,Tuesday,Y,R,119,27,3,
3/22/2023,Wednesday,Y,R,120,27,3,
3/23/2023,Thursday,Y,R,121,27,3,
3/24/2023,Friday,Y,R,122,27,3,
3/27/2023,Monday,Y,R,123,28,3,
3/28/2023,Tuesday,Y,R,124,28,3,
3/29/2023,Wednesday,Y,R,125,28,3,
3/30/2023,Thursday,Y,R,126,28,3,
3/31/2023,Friday,Y,R,127,28,3,
4/3/2023,Monday,Y,R,128,29,3,
4/4/2023,Tuesday,Y,R,129,29,3,
4/5/2023,Wednesday,Y,R,130,29,3,
4/6/2023,Thursday,Y,R,131,29,3,
4/7/2023,Friday,X,X, ,29,3,Holy Friday
4/10/2023,Monday,X,X, ,29,3,Spring Break
4/11/2023,Tuesday,X,X, ,29,3,Spring Break
4/12/2023,Wednesday,X,X, ,29,3,Spring Break
4/13/2023,Thursday,X,X, ,29,3,Spring Break
4/14/2023,Friday,X,X, ,29,3,Spring Break
